City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,mayor pablo lagerenza,-19.9309,-60.7718,30.98,37,95,2.33,PY,1675547924
256,maningrida,-12.0667,134.2667,24.55,90,91,1.81,AU,1675547925
257,sao filipe,14.8961,-24.4956,22.12,63,28,6.42,CV,1675547608
258,conceicao do araguaia,-8.2578,-49.2647,24.8,86,97,0.2,BR,1675547926
259,narsaq,60.9167,-46.05,-5.05,87,100,6.06,GL,1675547926
260,castro,-24.7911,-50.0119,18.6,92,80,2.43,BR,1675547573
261,kurumkan,54.3,110.3,-21.64,93,47,1.86,RU,1675547927
262,grand gaube,-20.0064,57.6608,26.22,82,97,1.34,MU,1675547462
263,bandipur,27.9333,84.4167,7.4,70,2,1.18,NP,1675547928
264,garowe,8.4054,48.4845,18.67,71,69,5.71,SO,1675547928
265,kruisfontein,-34.0033,24.7314,21.45,65,80,1.77,ZA,1675547929
266,srikakulam,18.3,83.9,18.39,83,4,2.75,IN,1675547929
267,mount isa,-20.7333,139.5,22.87,35,98,5.14,AU,1675547930
268,eldorado,-23.7869,-54.2836,24.5,70,57,2.49,BR,1675547930
269,songea,-10.6833,35.65,17.63,95,100,0.88,TZ,1675547930
270,senekal,-28.3197,27.6208,20.03,57,91,6.01,ZA,1675547931
271,miles city,46.4083,-105.8406,9.54,46,0,7.72,US,1675547931
272,poum,-20.2333,164.0167,27.71,78,28,2.63,NC,1675547505
273,bytow,54.1706,17.4919,-4.88,89,97,2.53,PL,1675547932
274,santiago de cao,-7.9589,-79.2392,24.07,78,40,4.12,PE,1675547932
275,dakar,14.6937,-17.4441,29.07,42,95,4.12,SN,1675547867
276,ewa beach,21.3156,-158.0072,22.46,88,100,4.12,US,1675547933
277,gonzales,30.2385,-90.9201,17.25,44,0,3.6,US,1675547933
278,port augusta,-32.5,137.7667,19.31,49,1,2.42,AU,1675547934
279,cap-aux-meules,47.3821,-61.8597,-12.97,92,100,18.52,CA,1675547934
280,lorengau,-2.0226,147.2712,28.25,71,100,2.33,PG,1675547935
281,xiaoweizhai,26.1903,107.5125,5.21,95,100,0.98,CN,1675547935
282,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,1675547936
283,truth or consequences,33.1284,-107.2528,17.86,17,0,4.12,US,1675547936
284,cascas,-7.4833,-78.8167,21.92,70,95,3.27,PE,1675547937
285,fare,-16.7,-151.0167,27.33,73,18,7.68,PF,1675547937
286,tinskoy,56.1525,96.9161,-18.07,99,100,1.02,RU,1675547937
287,gemena,3.25,19.7667,24.56,25,73,0.89,CD,1675547938
288,buraydah,26.326,43.975,13.25,33,0,5.82,SA,1675547938
289,wewak,-3.5534,143.6268,25.9,86,100,1.93,PG,1675547939
290,yatou,37.15,122.3833,0.06,56,0,2.11,CN,1675547939
291,carutapera,-1.195,-46.02,24.78,93,100,3.67,BR,1675547940
292,rockport,28.0206,-97.0544,21.02,100,0,5.66,US,1675547940
293,lompoc,34.6391,-120.4579,22.1,77,0,2.57,US,1675547432
294,shimoda,34.6667,138.95,3.39,68,35,4.78,JP,1675547941
295,rio grande,-32.035,-52.0986,28.06,67,0,6.93,BR,1675547941
296,vila velha,-20.3297,-40.2925,27.97,84,0,7.2,BR,1675547888
297,yokadouma,3.5167,15.05,24.79,33,50,0.65,CM,1675547942
298,sur,22.5667,59.5289,21.13,67,1,1.96,OM,1675547870
299,pilas,37.3034,-6.301,11.32,65,0,2.15,ES,1675547944
300,meulaboh,4.1363,96.1285,23.86,88,98,1.65,ID,1675547945
301,honiara,-9.4333,159.95,28.48,78,96,0.69,SB,1675547946
302,bandarbeyla,9.4942,50.8122,23.7,67,92,6.78,SO,1675547426
303,kamenka,51.3223,42.7678,-6.22,96,100,3.32,RU,1675547948
304,bud,39.446999999999996,-86.1758,8.01,48,87,7.02,US,1675547495
305,misratah,32.3754,15.0925,14.34,69,31,1.87,LY,1675547931
306,bath,51.3779,-2.3591,9.1,90,100,2.55,GB,1675547863
307,petropavlovsk-kamchatskiy,53.0452,158.6483,-16.67,66,40,4.0,RU,1675547950
308,jacmel,18.2342,-72.5347,29.91,67,6,2.2,HT,1675547951
309,aloleng,16.1307,119.7824,23.86,69,80,2.99,PH,1675547951
310,xinqing,48.2333,129.5,-18.85,100,100,0.3,CN,1675547952
311,nome,64.5011,-165.4064,-10.96,85,100,3.6,US,1675547670
312,haines junction,60.7522,-137.5108,-9.03,67,100,0.51,CA,1675547892
313,selfoss,63.9331,-20.9971,0.58,94,100,7.26,IS,1675547954
314,doha,25.2867,51.5333,16.99,59,0,2.57,QA,1675547904
315,zhigansk,66.7697,123.3711,-41.79,96,47,5.02,RU,1675547700
316,arica,-18.475,-70.3042,28.75,65,0,5.66,CL,1675547786
317,makakilo city,21.3469,-158.0858,21.67,87,100,4.12,US,1675547956
318,bengkulu,-3.8004,102.2655,23.31,89,100,2.07,ID,1675547696
319,bethel,41.3712,-73.414,-7.02,37,20,3.09,US,1675547795
320,bichena,10.45,38.2,13.35,36,27,1.03,ET,1675547959
321,upata,8.0086,-62.3989,24.55,60,88,3.86,VE,1675547959
322,winnemucca,40.973,-117.7357,5.57,54,100,1.98,US,1675547960
323,birin,26.8865,88.0718,8.16,68,3,1.71,NP,1675547961
324,kalaleh,37.3807,55.4916,4.78,56,0,0.0,IR,1675547962
325,yar-sale,66.8333,70.8333,-12.1,97,99,2.52,RU,1675547963
326,arraial do cabo,-22.9661,-42.0278,28.98,74,0,6.17,BR,1675547667
327,maniitsoq,65.4167,-52.9,-16.83,84,32,7.64,GL,1675547964
328,kerrville,30.0474,-99.1403,13.07,75,100,4.12,US,1675547791
329,port hedland,-20.3167,118.5667,25.03,88,17,3.6,AU,1675547736
330,ketchikan,55.3422,-131.6461,7.99,87,100,5.66,US,1675547967
331,cavalcante,-13.7975,-47.4583,21.79,84,26,0.36,BR,1675547968
332,yevpatoriya,45.1972,33.3558,3.32,79,100,6.4,UA,1675547968
333,dehloran,32.6941,47.2679,11.43,41,75,2.68,IR,1675547969
334,sawtell,-30.3833,153.1,24.01,73,1,2.06,AU,1675547969
335,aras,42.5617,-2.356,4.87,70,0,6.17,ES,1675547970
336,kiunga,-6.1219,141.2906,22.84,100,100,0.9,PG,1675547970
337,faanui,-16.4833,-151.75,27.49,72,64,8.36,PF,1675547971
338,namatanai,-3.6667,152.4333,26.31,81,100,1.45,PG,1675547688
339,plainview,40.7765,-73.4673,-4.56,36,75,2.57,US,1675547899
340,awassa,7.05,38.4667,17.17,49,32,3.88,ET,1675547971
341,puerto madryn,-42.7692,-65.0385,31.11,24,1,9.85,AR,1675547972
342,sturgeon bay,44.8342,-87.37700000000001,-3.01,58,0,6.69,US,1675547972
343,aksarka,66.5606,67.7975,-18.69,100,84,1.61,RU,1675547973
344,husavik,66.0449,-17.3389,-2.89,73,22,6.39,IS,1675547647
345,sartana,47.1744,37.6927,0.09,79,96,2.06,UA,1675547974
346,coquimbo,-29.9533,-71.3436,22.85,64,0,4.63,CL,1675547974
347,oda,35.1833,132.5,-0.57,71,70,2.76,JP,1675547974
348,nikolskoye,59.7035,30.7861,-3.06,93,99,3.11,RU,1675547681
349,marsh harbour,26.5412,-77.0636,21.94,77,98,12.75,BS,1675547975
350,medina,24.4686,39.6142,18.24,36,0,0.0,SA,1675547812
351,zhongxing,33.7039,118.6792,0.38,71,6,3.06,CN,1675547976
352,clyde river,70.4692,-68.5914,-27.87,57,75,6.69,CA,1675547441
353,nantucket,41.2835,-70.0995,-8.92,38,0,5.66,US,1675547977
354,ambilobe,-13.2,49.05,23.24,96,99,0.59,MG,1675547977
355,boa vista,2.8197,-60.6733,28.99,61,40,1.54,BR,1675547927
356,dunedin,-45.8742,170.5036,20.45,84,100,2.24,NZ,1675547727
357,lata,40.1629,-8.3327,5.6,70,0,1.8,PT,1675547978
358,khandyga,62.6667,135.6,-43.52,99,92,0.53,RU,1675547821
359,krasnoselkup,65.7,82.4667,-15.0,96,100,3.89,RU,1675547887
360,bulgan,48.8125,103.5347,-18.97,89,81,1.27,MN,1675547979
361,gizo,-8.103,156.8419,28.04,76,91,3.25,SB,1675547500
362,guaraniacu,-25.1008,-52.8781,20.07,74,93,1.24,BR,1675547979
363,rio novo,-21.4575,-43.1253,24.46,84,76,1.64,BR,1675547980
